epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21141,3.63623,4.06377,2.53706,0.00259,0.20057,0.00345,0.00073,3.39514,3.92179,2.64576,0.0025,0.0025,0.0025
2,5.94728,3.36747,3.73438,2.2979,0.00281,0.21777,0.00262,0.00096,2.81391,3.89923,2.67288,0.00509832,0.00509832,0.00509832
3,8.65037,3.09845,3.4785,2.10089,0.00215,0.16619,0.00131,0.00047,3.28788,3.94218,2.62885,0.00769492,0.00769492,0.00769492
4,11.2722,3.25566,3.49712,2.1379,0.00341,0.26361,0.03188,0.01372,2.9723,3.54935,2.24572,0.0099901,0.0099901,0.0099901
5,13.9162,3.17083,3.3697,2.05889,0.2557,0.07088,0.05592,0.02528,3.18958,3.56395,2.46458,0.0099868,0.0099868,0.0099868
6,16.6418,3.13331,3.31142,2.05612,0.11595,0.01433,0.01241,0.00443,3.6679,3.50541,2.60851,0.0099835,0.0099835,0.0099835
7,19.285,3.12755,3.28095,2.06957,0.10484,0.04298,0.01748,0.00823,3.25793,3.60209,2.47065,0.0099802,0.0099802,0.0099802
8,21.9151,3.07776,3.19888,1.98523,0.49576,0.09169,0.09388,0.03852,3.13676,3.17893,2.58739,0.0099769,0.0099769,0.0099769
9,24.5687,3.06758,3.18972,2.03633,0.3374,0.07163,0.04821,0.02157,3.44528,3.26547,2.92073,0.0099736,0.0099736,0.0099736
10,27.3413,3.04345,3.12904,2.01717,0.154,0.08883,0.04046,0.01739,3.2097,3.29974,2.39164,0.0099703,0.0099703,0.0099703
11,30.0747,3.02387,3.13596,1.98646,0.00395,0.07163,0.00803,0.00406,4.03346,4.4014,3.42037,0.009967,0.009967,0.009967
12,32.7739,3.05143,3.18276,2.00133,0.35963,0.10299,0.07901,0.03439,3.12235,3.623,2.51793,0.0099637,0.0099637,0.0099637
13,35.3944,2.94602,3.11379,1.95069,0.27235,0.07163,0.05677,0.02056,3.08444,3.24448,2.372,0.0099604,0.0099604,0.0099604
14,38.1062,3.06949,3.27051,2.05048,0.44091,0.02865,0.03686,0.01825,3.68723,3.92364,2.88268,0.0099571,0.0099571,0.0099571
15,40.6504,2.95272,3.02247,1.9655,0.35158,0.06526,0.06914,0.02896,2.98631,3.53498,2.48857,0.0099538,0.0099538,0.0099538
16,43.2781,3.01975,3.14906,2.00624,0.36637,0.11461,0.08336,0.0367,3.20672,3.06309,2.4165,0.0099505,0.0099505,0.0099505
17,45.9872,2.9381,3.06101,1.9822,0.17111,0.05444,0.04436,0.02045,3.4572,4.86289,2.49257,0.0099472,0.0099472,0.0099472
18,48.7336,2.96336,3.06059,1.95951,0.0055,0.03152,0.00189,0.00069,4.3972,4.56511,3.33538,0.0099439,0.0099439,0.0099439
