epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44227,4.08386,4.15406,2.92252,0.00064,0.04965,0.00034,0.00011,3.74529,4.16552,3.09521,0.00325203,0.00325203,0.00325203
2,6.26149,3.96435,4.00256,2.65192,0.001,0.07801,0.00054,0.00014,3.84646,4.08601,2.82893,0.00658319,0.00658319,0.00658319
3,9.04191,3.75835,3.82064,2.44604,0.00137,0.10638,0.00077,0.00017,3.64716,3.97304,2.78393,0.00991215,0.00991215,0.00991215
4,11.7431,3.78084,3.75148,2.4498,0.00247,0.19149,0.00181,0.00059,3.67635,3.75025,2.72585,0.0099901,0.0099901,0.0099901
5,14.6458,3.7632,3.63571,2.37974,0.00078,0.06028,0.00309,0.00192,3.95641,5.51281,2.54679,0.0099868,0.0099868,0.0099868
6,17.5151,3.7132,3.61024,2.34873,0.00096,0.07447,0.00321,0.00063,3.83543,5.71112,2.63726,0.0099835,0.0099835,0.0099835
7,20.237,3.7415,3.62362,2.38734,0.00233,0.18085,0.00168,0.00043,3.58869,3.59021,2.64913,0.0099802,0.0099802,0.0099802
8,22.9263,3.63912,3.63954,2.37816,0.00201,0.15603,0.00185,0.00062,3.71309,3.7494,2.74674,0.0099769,0.0099769,0.0099769
9,25.6845,3.68409,3.6166,2.31348,0.00174,0.13475,0.0016,0.00038,3.70638,4.10078,2.55758,0.0099736,0.0099736,0.0099736
10,28.5557,3.64978,3.63922,2.29966,0.00863,0.01064,0.00079,0.00016,4.17793,8.58016,2.57968,0.0099703,0.0099703,0.0099703
11,31.3286,3.72906,3.58619,2.34485,0.00137,0.10638,0.00135,0.00042,3.52386,3.82657,2.49549,0.009967,0.009967,0.009967
12,34.2959,3.70258,3.59845,2.3106,0.00178,0.1383,0.0036,0.00105,3.51501,3.7673,2.43733,0.0099637,0.0099637,0.0099637
13,36.9981,3.66992,3.5764,2.35259,0.00191,0.1383,0.0011,0.00029,3.4897,4.04773,2.68894,0.0099604,0.0099604,0.0099604
14,39.7997,3.71794,3.60152,2.36157,0.00146,0.11348,0.00141,0.00032,3.60991,4.25991,2.49726,0.0099571,0.0099571,0.0099571
15,42.7464,3.65326,3.62316,2.31785,0.00037,0.02837,0.0003,6e-05,4.50961,6.83866,2.50463,0.0099538,0.0099538,0.0099538
16,45.7136,3.65391,3.61072,2.29864,0,0,0,0,4.65923,8.42161,2.58335,0.0099505,0.0099505,0.0099505
17,48.6288,3.65158,3.61951,2.291,0.00279,0.21631,0.00398,0.00107,3.62178,3.88632,2.51405,0.0099472,0.0099472,0.0099472
18,51.3591,3.59305,3.64906,2.27937,0.00283,0.21986,0.00246,0.00065,3.49566,3.53353,2.459,0.0099439,0.0099439,0.0099439
19,54.1553,3.64015,3.63209,2.30936,0.00187,0.14539,0.0011,0.00029,3.49013,3.45449,2.44279,0.0099406,0.0099406,0.0099406
20,56.925,3.62261,3.62426,2.31956,0.10165,0.00355,0.00449,0.00119,3.54464,4.22686,2.51034,0.0099373,0.0099373,0.0099373
21,59.8632,3.64809,3.61385,2.31234,0.00192,0.14894,0.00338,0.00135,3.44799,3.75804,2.48859,0.009934,0.009934,0.009934
22,62.6901,3.68683,3.59795,2.29191,0.00215,0.16667,0.00233,0.00089,3.57473,3.46379,2.65633,0.0099307,0.0099307,0.0099307
23,65.5154,3.66522,3.61937,2.30745,0.00288,0.2234,0.00185,0.00055,3.37742,3.6288,2.4091,0.0099274,0.0099274,0.0099274
24,68.4322,3.60278,3.65796,2.27539,0.0016,0.12411,0.00091,0.00026,3.37155,3.49332,2.38159,0.0099241,0.0099241,0.0099241
25,71.1801,3.61955,3.56474,2.28454,0.00128,0.09929,0.00082,0.00027,3.42064,3.58446,2.50176,0.0099208,0.0099208,0.0099208
26,73.8303,3.64507,3.62084,2.31478,0.00228,0.1773,0.00172,0.00041,3.4887,3.48727,2.47292,0.0099175,0.0099175,0.0099175
