epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.23964,3.63613,4.06011,2.52557,0.00248,0.19198,0.0017,0.00064,3.35452,3.89444,2.57034,0.0025,0.0025,0.0025
2,5.92346,3.35141,3.70675,2.26243,0.00289,0.2235,0.00728,0.00216,2.87256,3.77059,2.30803,0.00509832,0.00509832,0.00509832
3,8.6575,3.10169,3.47283,2.09889,0.00196,0.15186,0.00621,0.00341,3.37357,3.90661,2.71207,0.00769492,0.00769492,0.00769492
4,12.1171,3.16287,3.45091,2.08853,0.00152,0.11748,0.00163,0.00041,4.1844,5.1482,2.49575,0.0099901,0.0099901,0.0099901
5,16.5613,3.1619,3.36273,2.06585,0.1385,0.06304,0.0337,0.01127,3.29273,3.48275,2.55326,0.0099868,0.0099868,0.0099868
6,19.3653,3.10853,3.28237,2.04569,0.18736,0.02865,0.01949,0.00392,4.10374,3.95587,2.53714,0.0099835,0.0099835,0.0099835
7,22.0919,3.09487,3.25834,2.05593,0.38646,0.01433,0.03372,0.01405,3.32306,3.33633,2.40452,0.0099802,0.0099802,0.0099802
8,24.8086,3.0793,3.20189,2.00013,0.33199,0.08023,0.06509,0.02355,3.01798,3.40238,2.21042,0.0099769,0.0099769,0.0099769
9,27.4704,3.05947,3.19819,2.02805,0.25371,0.08883,0.04977,0.01969,3.14592,3.19601,2.26217,0.0099736,0.0099736,0.0099736
10,30.1648,3.03242,3.14122,1.98725,0.2982,0.04871,0.04375,0.01729,3.2766,3.26035,2.43942,0.0099703,0.0099703,0.0099703
11,32.9584,3.02858,3.11411,1.9777,0.23489,0.12894,0.07112,0.03092,3.06081,3.02777,2.28723,0.009967,0.009967,0.009967
12,35.9649,3.04595,3.13322,2.00811,0.18988,0.06017,0.03767,0.01449,3.47317,3.33894,2.50725,0.0099637,0.0099637,0.0099637
13,38.6583,2.94417,3.10776,1.9384,0.31062,0.07736,0.06575,0.02171,3.20914,3.29822,2.28853,0.0099604,0.0099604,0.0099604
14,41.2522,3.07207,3.22846,2.04778,0.38,0.02579,0.02671,0.00989,4.01257,4.37817,3.22737,0.0099571,0.0099571,0.0099571
15,43.9541,2.90484,3.0414,1.95155,0.22178,0.10602,0.06217,0.02502,2.84409,3.02849,2.03199,0.0099538,0.0099538,0.0099538
16,46.5998,3.03054,3.16498,2.01584,0.27501,0.06196,0.03983,0.01598,3.24606,3.32001,2.36937,0.0099505,0.0099505,0.0099505
17,49.3255,2.95798,3.05777,1.99031,0.25771,0.12607,0.09335,0.03657,3.0025,3.18617,2.30522,0.0099472,0.0099472,0.0099472
18,52.0301,2.94326,3.05117,1.97086,0.2217,0.08023,0.06507,0.02466,2.91559,3.08278,2.11508,0.0099439,0.0099439,0.0099439
19,54.6864,2.9854,3.10697,1.96679,0.39415,0.11461,0.10022,0.04434,2.86093,3.01511,2.10518,0.0099406,0.0099406,0.0099406
20,57.5251,2.9152,3.0631,1.93444,0.26453,0.12321,0.08613,0.04296,2.86827,3.06261,2.08421,0.0099373,0.0099373,0.0099373
21,60.2891,2.91533,2.99427,1.92981,0.1642,0.06304,0.035,0.01289,3.23807,3.85672,2.17892,0.009934,0.009934,0.009934
22,63.009,2.9166,2.99153,1.92885,0.15341,0.0086,0.00476,0.00184,4.66224,5.13862,3.1656,0.0099307,0.0099307,0.0099307
23,65.7916,2.90519,2.97278,1.90597,0.06208,0.02579,0.00702,0.0021,3.3516,3.57535,2.32992,0.0099274,0.0099274,0.0099274
24,68.4622,2.87203,2.9396,1.89661,0.31031,0.13754,0.09806,0.04705,2.80882,3.00857,2.13785,0.0099241,0.0099241,0.0099241
25,71.1135,2.85955,2.96112,1.89852,0.28291,0.14327,0.10002,0.04675,2.70965,2.97068,2.06793,0.0099208,0.0099208,0.0099208
26,73.7896,2.82707,2.9348,1.90444,0.23937,0.12607,0.07496,0.02871,3.01958,3.0193,2.20616,0.0099175,0.0099175,0.0099175
27,76.4448,2.92641,3.05638,1.95142,0.28893,0.1404,0.09845,0.04131,2.79072,2.94514,2.05131,0.0099142,0.0099142,0.0099142
28,79.1303,2.90393,3.13806,1.94663,0.42077,0.08023,0.07738,0.03774,3.06404,3.56653,2.37218,0.0099109,0.0099109,0.0099109
