epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.01228,2.54656,3.23357,1.82521,0.0325,0.54167,0.03905,0.01279,2.71772,2.87155,2.02018,0,0,0
2,9.37087,2.61652,3.18394,2.07991,0.03333,0.55556,0.04279,0.01288,2.71113,2.87051,2.01334,1.9802e-05,1.9802e-05,1.9802e-05
3,9.71989,2.7026,3.17662,2.23061,0.03333,0.55556,0.04528,0.01405,2.70987,2.87757,2.02007,3.9208e-05,3.9208e-05,3.9208e-05
4,10.0778,2.61221,3.244,2.08528,0.03333,0.55556,0.04595,0.01333,2.75955,2.86685,2.0481,5.8218e-05,5.8218e-05,5.8218e-05
5,10.2897,2.77874,3.22274,2.20957,0.03333,0.55556,0.05005,0.01591,2.81267,2.87749,2.08461,7.6832e-05,7.6832e-05,7.6832e-05
6,10.5737,2.90844,3.30982,2.22932,0.03333,0.55556,0.04833,0.01553,2.85993,2.86852,2.09898,9.505e-05,9.505e-05,9.505e-05
7,11.0224,2.7847,3.21922,2.27177,0.04083,0.68056,0.11187,0.03517,2.41221,2.82151,1.80574,0.000112872,0.000112872,0.000112872
8,11.6275,2.19476,3.16268,1.8307,0.04833,0.80556,0.25397,0.10548,1.96381,2.72099,1.5338,0.000130298,0.000130298,0.000130298
9,12.2542,1.97474,3.0913,1.72444,0.05583,0.93056,0.40436,0.1972,1.57058,2.6573,1.31997,0.000147328,0.000147328,0.000147328
10,12.6368,1.82713,3.03063,1.6016,0.0575,0.95833,0.51142,0.22768,1.45968,2.63907,1.23232,0.000163962,0.000163962,0.000163962
11,13.042,1.54619,2.88001,1.46297,0.05667,0.94444,0.52972,0.25087,1.41247,2.62239,1.16822,0.0001802,0.0001802,0.0001802
12,13.3679,1.48405,2.67932,1.40348,0.0575,0.95833,0.60263,0.26557,1.38232,2.5735,1.12984,0.000196042,0.000196042,0.000196042
13,13.8879,1.61314,2.70821,1.44161,0.0575,0.95833,0.58293,0.27602,1.37317,2.52632,1.12227,0.000211488,0.000211488,0.000211488
14,14.3321,1.53487,2.30813,1.39672,0.0575,0.95833,0.58561,0.27383,1.37315,2.52158,1.12086,0.000226538,0.000226538,0.000226538
15,14.7563,1.59641,2.36839,1.41011,0.0575,0.95833,0.58339,0.27651,1.34422,2.46789,1.12269,0.000241192,0.000241192,0.000241192
16,15.1199,1.47975,2.15067,1.31834,0.0575,0.95833,0.52361,0.26637,1.38771,2.39649,1.16285,0.00025545,0.00025545,0.00025545
17,15.6889,1.39909,1.83591,1.27514,0.65649,0.29167,0.50691,0.26771,1.39201,2.30216,1.19101,0.000269312,0.000269312,0.000269312
18,16.2224,1.53081,1.75182,1.30636,0.65649,0.29167,0.50691,0.26771,1.39201,2.30216,1.19101,0.000282778,0.000282778,0.000282778
19,16.7881,1.59771,1.77932,1.32749,0.6785,0.29316,0.53883,0.30805,1.33406,2.16058,1.1808,0.000295848,0.000295848,0.000295848
20,17.3484,1.43751,1.59398,1.25624,0.6785,0.29316,0.53883,0.30805,1.33406,2.16058,1.1808,0.000308522,0.000308522,0.000308522
21,17.6868,1.38895,1.53538,1.26734,0.77351,0.52183,0.63894,0.38092,1.25926,1.99833,1.1542,0.0003208,0.0003208,0.0003208
22,18.1487,1.43039,1.57833,1.2497,0.77351,0.52183,0.63894,0.38092,1.25926,1.99833,1.1542,0.000332682,0.000332682,0.000332682
23,18.734,1.44258,1.45436,1.26942,0.78,0.59722,0.69621,0.44661,1.17638,1.90051,1.12673,0.000344168,0.000344168,0.000344168
24,19.0599,1.37813,1.37801,1.23599,0.78,0.59722,0.69621,0.44661,1.17638,1.90051,1.12673,0.000355258,0.000355258,0.000355258
25,19.4518,1.4198,1.364,1.2621,0.81709,0.55845,0.75925,0.47911,1.176,1.85919,1.14474,0.000365952,0.000365952,0.000365952
26,19.9232,1.27425,1.27208,1.23414,0.81709,0.55845,0.75925,0.47911,1.176,1.85919,1.14474,0.00037625,0.00037625,0.00037625
27,20.5023,1.36766,1.28532,1.21543,0.82992,0.625,0.7824,0.51081,1.16935,1.84409,1.13528,0.000386152,0.000386152,0.000386152
28,20.9576,1.37458,1.26589,1.25656,0.82992,0.625,0.7824,0.51081,1.16935,1.84409,1.13528,0.000395658,0.000395658,0.000395658
29,21.4495,1.363,1.16708,1.24176,0.83024,0.66667,0.78733,0.53003,1.138,1.82696,1.11452,0.000404768,0.000404768,0.000404768
30,21.7847,1.23774,1.17924,1.17573,0.83024,0.66667,0.78733,0.53003,1.138,1.82696,1.11452,0.000413482,0.000413482,0.000413482
31,22.1705,1.24936,1.12632,1.16627,0.8488,0.65278,0.78197,0.51408,1.18277,1.79823,1.15024,0.0004218,0.0004218,0.0004218
32,22.5809,1.25803,1.10278,1.18818,0.8488,0.65278,0.78197,0.51408,1.18277,1.79823,1.15024,0.000429722,0.000429722,0.000429722
33,22.8988,1.2866,1.08978,1.1725,0.84387,0.65278,0.76979,0.47793,1.30868,1.74614,1.23614,0.000437248,0.000437248,0.000437248
34,23.2992,1.17398,1.07044,1.1561,0.84387,0.65278,0.76979,0.47793,1.30868,1.74614,1.23614,0.000444378,0.000444378,0.000444378
35,23.762,1.19729,1.05136,1.17263,0.82164,0.63982,0.73421,0.43955,1.38349,1.79163,1.29677,0.000451112,0.000451112,0.000451112
36,24.2292,1.24282,1.04702,1.18289,0.82164,0.63982,0.73421,0.43955,1.38349,1.79163,1.29677,0.00045745,0.00045745,0.00045745
37,24.6657,1.22878,1.02296,1.16805,0.83088,0.55556,0.68839,0.43507,1.35775,1.83682,1.30062,0.000463392,0.000463392,0.000463392
38,25.191,1.07946,1.01098,1.13226,0.83088,0.55556,0.68839,0.43507,1.35775,1.83682,1.30062,0.000468938,0.000468938,0.000468938
39,25.7421,1.15025,1.01407,1.1543,0.86286,0.52438,0.64029,0.42339,1.32024,2.00998,1.30614,0.000474088,0.000474088,0.000474088
40,26.2878,1.2734,1.05521,1.17902,0.86286,0.52438,0.64029,0.42339,1.32024,2.00998,1.30614,0.000478842,0.000478842,0.000478842
41,26.7179,1.21685,1.11091,1.14297,0.77442,0.55556,0.61069,0.37305,1.38796,2.09914,1.33137,0.0004832,0.0004832,0.0004832
42,27.1367,1.10872,1.00107,1.12878,0.77442,0.55556,0.61069,0.37305,1.38796,2.09914,1.33137,0.000487162,0.000487162,0.000487162
43,27.5612,1.14193,0.96545,1.12609,0.85373,0.64856,0.73147,0.40354,1.46375,1.67067,1.32567,0.000490728,0.000490728,0.000490728
