epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.86976,3.685,3.89287,2.55446,0.01451,0.11748,0.00371,0.00151,3.5342,27.2354,3.46586,0.07525,0.00025,0.00025
2,18.2663,3.32602,3.42183,2.27648,0.00242,0.02292,0.0006,0.00019,nan,nan,nan,0.049509,0.00050899,0.00050899
3,27.5548,3.21491,3.28601,2.20801,0,0,0,0,nan,nan,nan,0.023767,0.000766951,0.000766951
4,37.1261,3.247,3.2983,2.18658,0,0,0,0,nan,nan,nan,0.00099406,0.00099406,0.00099406
5,46.7199,3.24726,3.22904,2.17445,0.00033,0.02579,0.00017,5e-05,4.56193,115.637,5.38164,0.00099208,0.00099208,0.00099208
6,56.4351,3.18801,3.21785,2.14216,0.00078,0.02006,0.00024,0.0001,4.60627,44.4808,4.37301,0.0009901,0.0009901,0.0009901
7,66.0592,3.1543,3.14323,2.15815,0,0,0,0,4.69639,7.88852,3.46217,0.00098812,0.00098812,0.00098812
8,76.1069,3.10609,3.23932,2.07574,0,0,0,0,5.20658,10.4861,5.36507,0.00098614,0.00098614,0.00098614
9,85.856,3.06415,3.17382,2.09569,0.36329,0.00287,0.01318,0.0072,4.23787,3.94684,3.77422,0.00098416,0.00098416,0.00098416
10,96.1555,3.07524,3.11862,2.12709,0.19596,0.10056,0.06258,0.01966,3.44551,3.31661,2.62442,0.00098218,0.00098218,0.00098218
11,106.501,3.0283,3.07427,2.04526,0.0916,0.04585,0.03187,0.01752,3.13109,3.27656,2.32211,0.0009802,0.0009802,0.0009802
12,116.238,3.05961,3.11825,2.05512,0.41768,0.10888,0.10377,0.04773,3.11612,3.0335,2.3195,0.00097822,0.00097822,0.00097822
13,126.26,2.96335,3.03674,1.98994,0.20192,0.07736,0.04522,0.01589,3.17655,3.47752,2.43731,0.00097624,0.00097624,0.00097624
14,136.264,3.02634,3.16049,2.06614,0.29825,0.04871,0.03916,0.01932,3.56173,3.72877,2.56364,0.00097426,0.00097426,0.00097426
15,145.813,2.88392,2.96372,1.99181,0.42167,0.03725,0.03578,0.0145,3.28935,3.46685,2.43276,0.00097228,0.00097228,0.00097228
16,155.346,3.04848,3.1346,2.0671,0.21638,0.10602,0.07921,0.03415,3.06363,2.97143,2.35114,0.0009703,0.0009703,0.0009703
17,164.851,2.98018,3.05759,2.03568,0.24801,0.13754,0.0841,0.03674,2.83895,2.94473,2.23209,0.00096832,0.00096832,0.00096832
18,174.986,2.94212,3.09135,2.01197,0.32441,0.13754,0.09873,0.0375,2.90454,2.91282,2.27938,0.00096634,0.00096634,0.00096634
19,184.671,3.00065,3.09859,2.03433,0.20686,0.07736,0.04577,0.01582,3.28003,3.51705,2.49736,0.00096436,0.00096436,0.00096436
20,194.123,2.95161,3.05941,2.01511,0.23803,0.09742,0.06706,0.02702,3.15468,2.98453,2.41815,0.00096238,0.00096238,0.00096238
21,204.626,2.97524,2.96418,2.00418,0.19265,0.06877,0.03493,0.01359,3.1023,3.35124,2.40925,0.0009604,0.0009604,0.0009604
22,214.092,2.93491,3.00246,1.99543,0.26945,0.11748,0.09597,0.0449,2.79271,2.80344,2.18515,0.00095842,0.00095842,0.00095842
23,223.552,2.95249,2.9987,1.97089,0.43754,0.07357,0.05569,0.01839,3.18388,3.3227,2.34762,0.00095644,0.00095644,0.00095644
24,233.078,2.92717,2.97554,1.97385,0.4827,0.0659,0.06511,0.02719,3.12367,3.2039,2.3097,0.00095446,0.00095446,0.00095446
25,243.161,2.9239,2.97619,1.98501,0.40616,0.09169,0.08025,0.03859,2.87585,3.04092,2.23839,0.00095248,0.00095248,0.00095248
26,252.607,2.8932,2.94832,1.99094,0.36703,0.08309,0.08244,0.03564,2.92135,3.01108,2.29622,0.0009505,0.0009505,0.0009505
27,262.107,2.95771,3.03982,2.00717,0.19127,0.08309,0.03662,0.01524,3.31463,3.18169,2.52156,0.00094852,0.00094852,0.00094852
28,271.55,2.97625,3.14359,2.04836,0.62321,0.05215,0.06553,0.03096,3.00689,3.15487,2.33326,0.00094654,0.00094654,0.00094654
29,281.007,2.9179,3.01978,1.97877,0.33423,0.11175,0.08826,0.02701,3.19008,3.04982,2.36442,0.00094456,0.00094456,0.00094456
30,290.506,2.94811,2.97941,2.03006,0.34815,0.10315,0.08596,0.03449,3.02967,3.2401,2.3654,0.00094258,0.00094258,0.00094258
