epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91736,2.81375,2.82927,2.89326,0.43393,0.03571,0.06973,0.01831,3.19453,2.82727,3.43094,2e-05,2e-05,2e-05
2,3.8668,2.79137,2.84382,2.86252,0.3088,0.14286,0.12161,0.03451,2.78637,2.58361,3.24869,5.9406e-05,5.9406e-05,5.9406e-05
3,6.75307,2.304,2.51465,2.44604,0.2166,0.57143,0.21692,0.09302,1.87477,8.20669,2.2344,9.802e-05,9.802e-05,9.802e-05
4,9.75276,2.04081,2.5949,2.36317,0.72687,0.39286,0.45871,0.23256,1.83099,2.62003,1.91233,0.000135842,0.000135842,0.000135842
5,12.7237,2.28621,2.28265,2.38304,0.46695,0.5,0.33448,0.1388,1.6555,1.98763,1.88576,0.000172872,0.000172872,0.000172872
6,14.9095,1.86955,2.16586,2.14409,0.45866,0.60714,0.35834,0.14599,2.00653,4.06517,2.71639,0.00020911,0.00020911,0.00020911
7,17.3856,2.13743,3.08976,2.33593,0.43729,0.60714,0.37768,0.14448,1.98626,3.84573,2.68856,0.000244556,0.000244556,0.000244556
8,19.9342,2.28269,3.25267,2.49169,0.97315,0.28571,0.41246,0.13036,2.03661,2.37987,2.65418,0.00027921,0.00027921,0.00027921
9,22.2446,1.83962,2.22303,2.01812,0.27997,0.25,0.16561,0.09318,2.13947,26.0497,2.79562,0.000313072,0.000313072,0.000313072
10,24.4898,1.71385,1.85936,1.90345,0.31368,0.46429,0.30655,0.13544,2.33102,13.5508,4.00299,0.000346142,0.000346142,0.000346142
11,26.816,1.90218,1.81273,2.08438,0.29228,0.32143,0.22205,0.10496,2.60775,7.7497,4.3396,0.00037842,0.00037842,0.00037842
12,29.0487,1.78037,1.85187,1.9835,0.29228,0.32143,0.22205,0.10496,2.60775,7.7497,4.3396,0.000409906,0.000409906,0.000409906
13,31.2807,1.78183,1.71419,2.00649,0.3935,0.35714,0.22924,0.07462,2.85398,5.82897,3.5649,0.0004406,0.0004406,0.0004406
14,33.5682,1.84414,1.9381,2.06313,0.33567,0.14286,0.1085,0.03283,nan,nan,nan,0.000470502,0.000470502,0.000470502
15,35.7826,1.60665,1.70347,1.88702,0.33567,0.14286,0.1085,0.03283,nan,nan,nan,0.000499612,0.000499612,0.000499612
16,38.0948,1.77401,1.72393,2.00996,0,0,0,0,3.53117,inf,4.33086,0.00052793,0.00052793,0.00052793
17,40.4639,1.81344,1.82938,2.00783,0.0531,0.21429,0.02037,0.00798,3.30733,69.0054,6.4548,0.000555456,0.000555456,0.000555456
18,42.7579,2.21072,2.02272,2.46484,0.0531,0.21429,0.02037,0.00798,3.30733,69.0054,6.4548,0.00058219,0.00058219,0.00058219
19,45.0386,1.79834,1.83752,2.02277,0.00671,0.14286,0.00385,0.00228,2.98063,151.878,4.53968,0.000608132,0.000608132,0.000608132
20,47.2459,1.7943,2.23177,1.98894,0.00671,0.14286,0.00385,0.00228,2.98063,151.878,4.53968,0.000633282,0.000633282,0.000633282
21,49.5294,1.91434,2.25929,2.07814,0.63973,0.14286,0.13474,0.0537,3.4709,3.17248,5.86253,0.00065764,0.00065764,0.00065764
22,51.8538,2.08037,1.95172,2.26899,0.63973,0.14286,0.13474,0.0537,3.4709,3.17248,5.86253,0.000681206,0.000681206,0.000681206
23,54.2107,1.88323,1.92882,2.107,0.29383,0.21429,0.10748,0.04659,2.82902,5.21868,3.78553,0.00070398,0.00070398,0.00070398
24,56.5694,1.93744,1.80684,2.10541,0.29383,0.21429,0.10748,0.04659,2.82902,5.21868,3.78553,0.000725962,0.000725962,0.000725962
25,58.8682,2.05077,1.94887,2.16229,0.04424,0.14286,0.02029,0.008,3.44111,89.6319,15.3811,0.000747152,0.000747152,0.000747152
26,61.1544,1.87714,1.89577,2.13207,0.04424,0.14286,0.02029,0.008,3.44111,89.6319,15.3811,0.00076755,0.00076755,0.00076755
27,63.4019,1.84814,1.90953,2.08215,0.04424,0.14286,0.02029,0.008,3.44111,89.6319,15.3811,0.000787156,0.000787156,0.000787156
28,65.6717,1.66973,1.9929,1.97696,0.04167,0.03571,0.01425,0.00215,3.78692,46.9556,6.76224,0.00080597,0.00080597,0.00080597
29,67.9366,1.73065,1.99919,1.99298,0.04167,0.03571,0.01425,0.00215,3.78692,46.9556,6.76224,0.000823992,0.000823992,0.000823992
30,70.2417,2.15937,2.19108,2.34307,0.00182,0.03571,0.00089,0.00018,3.49858,inf,9.37146,0.000841222,0.000841222,0.000841222
