epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.29559,2.80193,2.92153,2.86811,0.52574,0.03571,0.06606,0.01744,3.23996,2.80772,3.48247,2e-05,2e-05,2e-05
2,2.98224,2.95247,2.86755,2.93188,0.55676,0.03571,0.06771,0.0175,3.26256,2.8412,3.56344,5.8812e-05,5.8812e-05,5.8812e-05
3,5.02239,2.90808,2.88818,2.91239,0.58327,0.03571,0.06544,0.01319,3.29696,2.85469,3.57831,9.604e-05,9.604e-05,9.604e-05
4,6.7557,2.75807,2.83454,2.8252,0.51839,0.25,0.23797,0.06514,2.85136,2.75815,3.03717,0.000131684,0.000131684,0.000131684
5,9.85799,2.4562,4.2581,2.63569,0.03201,0.10714,0.0152,0.00469,2.60369,6.90558,2.90433,0.000165744,0.000165744,0.000165744
6,12.3273,2.30017,3.15629,2.55119,0.17061,0.35714,0.16545,0.04571,2.73267,7.23814,2.80466,0.00019822,0.00019822,0.00019822
7,14.7732,1.97954,2.48853,2.24228,0.35756,0.28571,0.18998,0.06722,2.55015,2.78625,2.7743,0.000229112,0.000229112,0.000229112
8,17.3542,2.11531,2.72425,2.31844,0.49589,0.46429,0.44176,0.16118,2.35665,5.20032,2.6503,0.00025842,0.00025842,0.00025842
9,21.1822,1.6041,2.31002,1.95634,0.71429,0.17857,0.25297,0.07846,2.45092,14.8873,2.93684,0.000286144,0.000286144,0.000286144
10,23.9976,1.96159,2.33428,2.22552,0.36364,0.14286,0.13623,0.03943,2.59514,329.516,3.40285,0.000312284,0.000312284,0.000312284
11,26.8278,1.72449,2.05629,1.95427,0.625,0.35714,0.28823,0.07833,2.97969,195.897,4.01609,0.00033684,0.00033684,0.00033684
12,29.4715,1.83775,2.10743,2.04299,0.625,0.35714,0.28823,0.07833,2.97969,195.897,4.01609,0.000359812,0.000359812,0.000359812
13,31.984,1.53516,2.06578,1.81474,0.09279,0.10714,0.04988,0.02619,2.82435,7.51924,4.03059,0.0003812,0.0003812,0.0003812
14,34.5033,1.87204,2.21558,2.14918,0.41373,0.35714,0.22385,0.09282,2.33713,4.70032,4.53841,0.000401004,0.000401004,0.000401004
15,36.9801,1.62364,1.85429,1.96012,0.41373,0.35714,0.22385,0.09282,2.33713,4.70032,4.53841,0.000419224,0.000419224,0.000419224
16,39.5454,1.62967,1.95567,2.03857,0.49727,0.45941,0.30795,0.11186,2.11058,3.60649,3.90226,0.00043586,0.00043586,0.00043586
17,42.5722,1.75296,1.92192,2.06803,0.55125,0.5,0.4183,0.14151,1.99382,8.20373,3.94211,0.000450912,0.000450912,0.000450912
18,45.4957,1.71942,1.97629,2.09138,0.55125,0.5,0.4183,0.14151,1.99382,8.20373,3.94211,0.00046438,0.00046438,0.00046438
19,48.3363,1.86051,1.85484,2.18587,0.60126,0.39286,0.36792,0.11156,2.50895,7.98316,4.26779,0.000476264,0.000476264,0.000476264
20,51.2478,1.63584,1.86237,1.8575,0.60126,0.39286,0.36792,0.11156,2.50895,7.98316,4.26779,0.000486564,0.000486564,0.000486564
21,54.2752,1.58972,1.73093,1.85391,0.37983,0.25,0.16508,0.03352,3.25744,5.82946,5.33997,0.00049528,0.00049528,0.00049528
22,57.2479,1.75368,1.87415,2.03866,0.37983,0.25,0.16508,0.03352,3.25744,5.82946,5.33997,0.000502412,0.000502412,0.000502412
