epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95492,2.59585,3.16085,2.0715,0.03167,0.52778,0.04007,0.01324,2.70501,2.86955,2.01636,0,0,0
2,9.27445,2.56835,3.25097,2.0075,0.03333,0.55556,0.04218,0.01299,2.70554,2.8712,2.01121,1.99934e-05,1.99934e-05,1.99934e-05
3,9.6649,2.6657,3.20848,2.21369,0.03333,0.55556,0.04483,0.0139,2.70005,2.87487,2.01338,3.99736e-05,3.99736e-05,3.99736e-05
4,10.0543,2.45613,3.15766,2.01769,0.03333,0.55556,0.04345,0.01311,2.74568,2.87141,2.04339,5.99406e-05,5.99406e-05,5.99406e-05
5,10.466,2.7304,3.17425,2.19913,0.03167,0.52778,0.04973,0.01545,2.7944,2.87657,2.07746,7.98944e-05,7.98944e-05,7.98944e-05
6,10.8638,2.53701,3.22453,2.04915,0.03583,0.59722,0.05618,0.01569,2.8217,2.87105,2.0804,9.9835e-05,9.9835e-05,9.9835e-05
7,11.3143,2.67572,3.22495,2.15702,0.035,0.58333,0.05051,0.01261,2.88145,2.85812,2.10276,0.000119762,0.000119762,0.000119762
8,11.7741,2.53276,3.2229,2.04794,0.0425,0.70833,0.08749,0.02868,2.41581,2.86683,1.85595,0.000139677,0.000139677,0.000139677
9,12.395,2.21961,3.08977,1.82285,0.05333,0.88889,0.26019,0.08758,1.88559,2.78317,1.51843,0.000159578,0.000159578,0.000159578
10,13.0344,1.90087,3.04414,1.66291,0.05583,0.93056,0.36677,0.16327,1.51422,2.71754,1.29334,0.000179465,0.000179465,0.000179465
11,13.5671,1.66915,2.8352,1.5264,0.0575,0.95833,0.5106,0.2298,1.43462,2.69355,1.21482,0.00019934,0.00019934,0.00019934
12,13.959,1.58899,2.80029,1.44607,0.0575,0.95833,0.58509,0.27266,1.39103,2.62545,1.17143,0.000219201,0.000219201,0.000219201
13,14.422,1.6095,2.67366,1.43606,0.05917,0.98611,0.62254,0.29293,1.48553,2.53837,1.16834,0.00023905,0.00023905,0.00023905
14,14.8998,1.53024,2.47051,1.42859,0.06,1,0.48809,0.23623,1.60441,2.5029,1.21977,0.000258885,0.000258885,0.000258885
15,15.6896,1.49488,2.13288,1.35958,0.05583,0.93056,0.37136,0.15515,1.77693,2.50855,1.37627,0.000278706,0.000278706,0.000278706
16,16.012,1.49921,1.87119,1.32051,0.05673,0.88889,0.31436,0.14022,1.84226,2.49355,1.4675,0.000298515,0.000298515,0.000298515
17,16.3372,1.44521,1.69944,1.29945,0.39921,0.35995,0.29962,0.14443,1.8008,2.42688,1.47762,0.00031831,0.00031831,0.00031831
18,16.7065,1.48648,1.56654,1.31983,0.39921,0.35995,0.29962,0.14443,1.8008,2.42688,1.47762,0.000338093,0.000338093,0.000338093
19,17.099,1.42934,1.51445,1.28715,0.66558,0.25,0.41114,0.21838,1.52568,2.26819,1.34234,0.000357862,0.000357862,0.000357862
20,17.6413,1.44985,1.40177,1.30997,0.66558,0.25,0.41114,0.21838,1.52568,2.26819,1.34234,0.000377617,0.000377617,0.000377617
21,18.1546,1.37901,1.41942,1.29475,0.70346,0.34722,0.57815,0.31648,1.35628,2.07062,1.23836,0.00039736,0.00039736,0.00039736
22,18.6147,1.4798,1.46849,1.31725,0.70346,0.34722,0.57815,0.31648,1.35628,2.07062,1.23836,0.000417089,0.000417089,0.000417089
23,19.1036,1.42063,1.34723,1.27667,0.67605,0.43056,0.61146,0.33711,1.31178,1.9426,1.21401,0.000436806,0.000436806,0.000436806
24,19.4636,1.29883,1.22816,1.22959,0.67605,0.43056,0.61146,0.33711,1.31178,1.9426,1.21401,0.000456509,0.000456509,0.000456509
25,19.8129,1.3514,1.26569,1.23756,0.71948,0.56944,0.65971,0.33154,1.39738,1.84669,1.29536,0.000476198,0.000476198,0.000476198
26,20.1975,1.31325,1.16017,1.23965,0.71948,0.56944,0.65971,0.33154,1.39738,1.84669,1.29536,0.000495875,0.000495875,0.000495875
27,20.6974,1.39718,1.20535,1.26965,0.74661,0.61388,0.72194,0.37814,1.32672,1.72968,1.22986,0.000515538,0.000515538,0.000515538
28,21.15,1.19772,1.10565,1.18817,0.74661,0.61388,0.72194,0.37814,1.32672,1.72968,1.22986,0.000535189,0.000535189,0.000535189
29,21.5322,1.26812,1.15538,1.2166,0.81658,0.61838,0.73589,0.42859,1.2813,1.68334,1.20968,0.000554826,0.000554826,0.000554826
30,22.0877,1.32259,1.19194,1.25857,0.81658,0.61838,0.73589,0.42859,1.2813,1.68334,1.20968,0.000574449,0.000574449,0.000574449
31,22.5795,1.23679,1.12132,1.19434,0.69404,0.54167,0.5838,0.34847,1.32619,1.94377,1.27656,0.00059406,0.00059406,0.00059406
32,22.9332,1.32705,1.10261,1.22944,0.69404,0.54167,0.5838,0.34847,1.32619,1.94377,1.27656,0.000613657,0.000613657,0.000613657
33,23.2461,1.25409,1.13905,1.20997,0.65719,0.53257,0.6007,0.33615,1.4,1.98938,1.32801,0.000633242,0.000633242,0.000633242
34,23.641,1.26787,1.05937,1.20877,0.65719,0.53257,0.6007,0.33615,1.4,1.98938,1.32801,0.000652813,0.000652813,0.000652813
35,24.1533,1.27004,1.11432,1.20849,0.6618,0.57075,0.66139,0.35696,1.52663,1.85182,1.40508,0.00067237,0.00067237,0.00067237
36,24.5354,1.24061,1.08797,1.22125,0.6618,0.57075,0.66139,0.35696,1.52663,1.85182,1.40508,0.000691915,0.000691915,0.000691915
37,24.9168,1.23891,1.0262,1.21283,0.72727,0.66666,0.71719,0.40442,1.39091,1.66399,1.32692,0.000711446,0.000711446,0.000711446
38,25.4921,1.1743,1.02295,1.22971,0.72727,0.66666,0.71719,0.40442,1.39091,1.66399,1.32692,0.000730965,0.000730965,0.000730965
39,25.8861,1.16369,1.01301,1.19471,0.81575,0.68056,0.71792,0.46358,1.30977,1.62969,1.27606,0.00075047,0.00075047,0.00075047
40,26.4808,1.26554,1.04473,1.22211,0.81575,0.68056,0.71792,0.46358,1.30977,1.62969,1.27606,0.000769961,0.000769961,0.000769961
41,27.0627,1.32392,1.07364,1.23858,0.70242,0.68056,0.73896,0.47804,1.3116,1.58975,1.24314,0.00078944,0.00078944,0.00078944
42,27.4543,1.26344,1.00981,1.20292,0.70242,0.68056,0.73896,0.47804,1.3116,1.58975,1.24314,0.000808905,0.000808905,0.000808905
43,27.7876,1.24519,1.03338,1.21412,0.78727,0.68056,0.74911,0.50001,1.28865,1.56052,1.24637,0.000828358,0.000828358,0.000828358
44,28.1609,1.12977,0.98046,1.12171,0.78727,0.68056,0.74911,0.50001,1.28865,1.56052,1.24637,0.000847797,0.000847797,0.000847797
45,28.5313,1.28651,1.09673,1.22026,0.7888,0.6744,0.73423,0.45957,1.41404,1.42539,1.31982,0.000867222,0.000867222,0.000867222
46,29.0274,1.20575,0.97737,1.1976,0.7888,0.6744,0.73423,0.45957,1.41404,1.42539,1.31982,0.000886635,0.000886635,0.000886635
47,29.433,1.1662,1.02315,1.21448,0.7777,0.73611,0.77238,0.48195,1.43845,1.29746,1.34328,0.000906034,0.000906034,0.000906034
48,29.769,1.21771,0.95831,1.20701,0.7777,0.73611,0.77238,0.48195,1.43845,1.29746,1.34328,0.000925421,0.000925421,0.000925421
49,30.2994,1.26189,0.98711,1.21184,0.84007,0.70833,0.80031,0.51374,1.32488,1.23273,1.25197,0.000944794,0.000944794,0.000944794
50,30.7156,1.1174,0.98388,1.14743,0.84007,0.70833,0.80031,0.51374,1.32488,1.23273,1.25197,0.000964153,0.000964153,0.000964153
51,31.3057,1.15335,0.94167,1.12061,0.82553,0.72291,0.80311,0.50407,1.30185,1.26159,1.24683,0.0009835,0.0009835,0.0009835
52,31.8494,1.13136,0.92845,1.14945,0.82553,0.72291,0.80311,0.50407,1.30185,1.26159,1.24683,0.00100283,0.00100283,0.00100283
53,32.377,1.12034,0.90946,1.13413,0.82553,0.72291,0.80311,0.50407,1.30185,1.26159,1.24683,0.00102215,0.00102215,0.00102215
54,32.8788,1.11374,0.92017,1.13863,0.77216,0.65278,0.73996,0.42388,1.47296,1.47866,1.37709,0.00104146,0.00104146,0.00104146
55,33.2168,1.21185,0.95697,1.15813,0.77216,0.65278,0.73996,0.42388,1.47296,1.47866,1.37709,0.00106075,0.00106075,0.00106075
56,33.7405,1.18116,1.01052,1.16762,0.77216,0.65278,0.73996,0.42388,1.47296,1.47866,1.37709,0.00108004,0.00108004,0.00108004
57,34.3064,1.07501,0.93574,1.12085,0.73205,0.64513,0.71526,0.39044,1.58334,1.47445,1.42026,0.0010993,0.0010993,0.0010993
58,34.6567,1.05678,0.85036,1.12075,0.73205,0.64513,0.71526,0.39044,1.58334,1.47445,1.42026,0.00111856,0.00111856,0.00111856
59,35.1041,1.04279,0.85046,1.09852,0.73205,0.64513,0.71526,0.39044,1.58334,1.47445,1.42026,0.0011378,0.0011378,0.0011378
60,35.5751,1.12619,0.91399,1.13156,0.74836,0.68056,0.74353,0.39119,1.64963,1.51407,1.45996,0.00115703,0.00115703,0.00115703
61,35.8703,1.1376,0.92281,1.13474,0.74836,0.68056,0.74353,0.39119,1.64963,1.51407,1.45996,0.00117624,0.00117624,0.00117624
62,36.477,1.0079,0.85305,1.10995,0.74836,0.68056,0.74353,0.39119,1.64963,1.51407,1.45996,0.00119544,0.00119544,0.00119544
63,36.8411,1.02065,0.81903,1.10292,0.74771,0.65278,0.76905,0.43501,1.49227,1.47189,1.38873,0.00121463,0.00121463,0.00121463
64,37.3703,1.12494,0.89103,1.10728,0.74771,0.65278,0.76905,0.43501,1.49227,1.47189,1.38873,0.0012338,0.0012338,0.0012338
65,37.8011,1.01344,0.85854,1.07847,0.74771,0.65278,0.76905,0.43501,1.49227,1.47189,1.38873,0.00125297,0.00125297,0.00125297
66,38.1612,1.11511,0.91484,1.11158,0.73594,0.6581,0.73577,0.43656,1.36314,1.3749,1.32022,0.00127211,0.00127211,0.00127211
67,38.6647,1.1386,0.86562,1.09531,0.73594,0.6581,0.73577,0.43656,1.36314,1.3749,1.32022,0.00129125,0.00129125,0.00129125
68,39.2514,1.04498,0.82059,1.07912,0.73594,0.6581,0.73577,0.43656,1.36314,1.3749,1.32022,0.00131037,0.00131037,0.00131037
69,39.5942,1.04342,0.92079,1.11622,0.6882,0.61111,0.7186,0.41653,1.44814,1.38184,1.39817,0.00132948,0.00132948,0.00132948
70,39.8893,1.15345,0.89212,1.10144,0.6882,0.61111,0.7186,0.41653,1.44814,1.38184,1.39817,0.00134858,0.00134858,0.00134858
71,40.2626,1.15221,0.84963,1.11155,0.6882,0.61111,0.7186,0.41653,1.44814,1.38184,1.39817,0.00136766,0.00136766,0.00136766
72,40.6918,1.06894,0.84065,1.15648,0.65749,0.66654,0.70033,0.38788,1.612,1.39358,1.50542,0.00138673,0.00138673,0.00138673
73,41.1488,1.08909,0.79139,1.08764,0.65749,0.66654,0.70033,0.38788,1.612,1.39358,1.50542,0.00140579,0.00140579,0.00140579
74,41.4474,1.15747,0.88549,1.1667,0.65749,0.66654,0.70033,0.38788,1.612,1.39358,1.50542,0.00142483,0.00142483,0.00142483
75,41.8,1.18305,0.86247,1.13165,0.67655,0.59722,0.65604,0.38175,1.56712,1.47076,1.43244,0.00144386,0.00144386,0.00144386
76,42.2861,1.07286,0.83704,1.08694,0.67655,0.59722,0.65604,0.38175,1.56712,1.47076,1.43244,0.00146287,0.00146287,0.00146287
77,42.8059,1.08235,0.99802,1.14985,0.67655,0.59722,0.65604,0.38175,1.56712,1.47076,1.43244,0.00148188,0.00148188,0.00148188
78,43.3732,1.06458,0.86331,1.09601,0.56319,0.51389,0.48101,0.29296,1.43612,2.03339,1.34409,0.00150087,0.00150087,0.00150087
79,43.9463,1.07829,0.8674,1.09078,0.56319,0.51389,0.48101,0.29296,1.43612,2.03339,1.34409,0.00151985,0.00151985,0.00151985
80,44.3074,1.25341,0.94181,1.14589,0.56319,0.51389,0.48101,0.29296,1.43612,2.03339,1.34409,0.00153881,0.00153881,0.00153881
81,44.8446,1.02916,0.862,1.10511,0.40032,0.38889,0.40466,0.24909,1.46972,2.08846,1.39318,0.00155776,0.00155776,0.00155776
82,45.3617,1.09609,0.86433,1.08037,0.40032,0.38889,0.40466,0.24909,1.46972,2.08846,1.39318,0.0015767,0.0015767,0.0015767
83,45.9412,0.95126,0.83235,1.07988,0.40032,0.38889,0.40466,0.24909,1.46972,2.08846,1.39318,0.00159562,0.00159562,0.00159562
84,46.811,1.01257,0.84211,1.0697,0.45433,0.4626,0.44523,0.23265,1.63841,1.96173,1.49074,0.00161453,0.00161453,0.00161453
85,47.3047,1.03325,0.81263,1.06702,0.45433,0.4626,0.44523,0.23265,1.63841,1.96173,1.49074,0.00163343,0.00163343,0.00163343
86,47.6181,1.05286,0.87284,1.1031,0.45433,0.4626,0.44523,0.23265,1.63841,1.96173,1.49074,0.00165231,0.00165231,0.00165231
87,47.9493,1.0427,0.90154,1.14071,0.45433,0.4626,0.44523,0.23265,1.63841,1.96173,1.49074,0.00167119,0.00167119,0.00167119
88,48.3073,1.00637,0.81021,1.06929,0.57419,0.58333,0.55123,0.32058,1.55846,1.64819,1.40335,0.00169004,0.00169004,0.00169004
89,48.7218,1.02006,0.82932,1.1033,0.57419,0.58333,0.55123,0.32058,1.55846,1.64819,1.40335,0.00170889,0.00170889,0.00170889
90,49.1877,1.13635,0.88859,1.15123,0.57419,0.58333,0.55123,0.32058,1.55846,1.64819,1.40335,0.00172772,0.00172772,0.00172772
91,49.5099,1.05437,0.85001,1.12878,0.57419,0.58333,0.55123,0.32058,1.55846,1.64819,1.40335,0.00174654,0.00174654,0.00174654
92,49.8889,1.03987,0.8179,1.11379,0.63368,0.66667,0.68729,0.41387,1.40165,1.45468,1.29131,0.00176535,0.00176535,0.00176535
93,50.2638,1.15771,0.87039,1.13012,0.63368,0.66667,0.68729,0.41387,1.40165,1.45468,1.29131,0.00178414,0.00178414,0.00178414
94,50.6263,1.00742,0.77731,1.05382,0.63368,0.66667,0.68729,0.41387,1.40165,1.45468,1.29131,0.00180292,0.00180292,0.00180292
95,51.2016,1.15422,0.93497,1.09513,0.63368,0.66667,0.68729,0.41387,1.40165,1.45468,1.29131,0.00182168,0.00182168,0.00182168
96,51.832,1.13976,0.86049,1.14314,0.61043,0.6747,0.64308,0.35833,1.59812,1.39693,1.47359,0.00184044,0.00184044,0.00184044
97,52.1773,1.12723,0.81895,1.12974,0.61043,0.6747,0.64308,0.35833,1.59812,1.39693,1.47359,0.00185917,0.00185917,0.00185917
98,52.6406,1.04909,0.82437,1.11039,0.61043,0.6747,0.64308,0.35833,1.59812,1.39693,1.47359,0.0018779,0.0018779,0.0018779
99,52.9442,1.13563,0.83675,1.10573,0.61043,0.6747,0.64308,0.35833,1.59812,1.39693,1.47359,0.00189661,0.00189661,0.00189661
100,53.2584,1.02999,0.77739,1.07477,0.63426,0.57811,0.60034,0.29685,1.71043,1.458,1.61868,0.00191531,0.00191531,0.00191531
101,53.59,0.92567,0.73317,1.02858,0.63426,0.57811,0.60034,0.29685,1.71043,1.458,1.61868,0.001934,0.001934,0.001934
102,53.9221,0.97076,0.75086,1.06829,0.63426,0.57811,0.60034,0.29685,1.71043,1.458,1.61868,0.00193334,0.00193334,0.00193334
103,54.376,0.99824,0.80808,1.07952,0.63426,0.57811,0.60034,0.29685,1.71043,1.458,1.61868,0.00193268,0.00193268,0.00193268
104,54.7992,0.98719,0.79196,1.0482,0.60003,0.63889,0.57222,0.27675,1.7522,1.63953,1.64999,0.00193202,0.00193202,0.00193202
105,55.2773,0.98249,0.74685,1.05793,0.60003,0.63889,0.57222,0.27675,1.7522,1.63953,1.64999,0.00193136,0.00193136,0.00193136
106,55.845,1.00076,0.74001,1.05432,0.60003,0.63889,0.57222,0.27675,1.7522,1.63953,1.64999,0.0019307,0.0019307,0.0019307
107,56.3792,1.11045,0.79273,1.11296,0.60003,0.63889,0.57222,0.27675,1.7522,1.63953,1.64999,0.00193004,0.00193004,0.00193004
108,56.7406,1.00304,0.73855,1.06727,0.67481,0.51884,0.58181,0.31144,1.75532,1.73425,1.65846,0.00192938,0.00192938,0.00192938
109,57.1574,0.9871,0.77099,1.07429,0.67481,0.51884,0.58181,0.31144,1.75532,1.73425,1.65846,0.00192872,0.00192872,0.00192872
110,57.6663,0.9548,0.74999,1.07202,0.67481,0.51884,0.58181,0.31144,1.75532,1.73425,1.65846,0.00192806,0.00192806,0.00192806
111,57.9902,1.02147,0.76876,1.05786,0.67481,0.51884,0.58181,0.31144,1.75532,1.73425,1.65846,0.0019274,0.0019274,0.0019274
112,58.3991,0.99646,0.75417,1.04361,0.71869,0.56776,0.62226,0.33883,1.70827,1.74076,1.61001,0.00192674,0.00192674,0.00192674
113,58.9501,1.07847,0.81068,1.0608,0.71869,0.56776,0.62226,0.33883,1.70827,1.74076,1.61001,0.00192608,0.00192608,0.00192608
114,59.5032,1.05607,0.75774,1.05589,0.71869,0.56776,0.62226,0.33883,1.70827,1.74076,1.61001,0.00192542,0.00192542,0.00192542
115,60.0541,1.0585,0.76227,1.08005,0.71869,0.56776,0.62226,0.33883,1.70827,1.74076,1.61001,0.00192476,0.00192476,0.00192476
116,60.5983,1.01254,0.74042,1.0642,0.54548,0.40278,0.48309,0.21421,1.91194,1.96954,1.75759,0.0019241,0.0019241,0.0019241
117,60.9297,1.10941,0.82123,1.122,0.54548,0.40278,0.48309,0.21421,1.91194,1.96954,1.75759,0.00192344,0.00192344,0.00192344
118,61.7366,1.08294,0.80372,1.09092,0.54548,0.40278,0.48309,0.21421,1.91194,1.96954,1.75759,0.00192278,0.00192278,0.00192278
119,62.093,1.08501,0.86535,1.11623,0.54548,0.40278,0.48309,0.21421,1.91194,1.96954,1.75759,0.00192212,0.00192212,0.00192212
120,62.4508,0.9199,0.71577,1.031,0.46737,0.18056,0.22457,0.10486,1.88353,2.60977,1.83508,0.00192146,0.00192146,0.00192146
121,62.8192,0.94729,0.67386,1.04829,0.46737,0.18056,0.22457,0.10486,1.88353,2.60977,1.83508,0.0019208,0.0019208,0.0019208
122,63.4068,0.94982,0.71395,1.02476,0.46737,0.18056,0.22457,0.10486,1.88353,2.60977,1.83508,0.00192014,0.00192014,0.00192014
123,63.7858,1.1075,0.79929,1.09493,0.46737,0.18056,0.22457,0.10486,1.88353,2.60977,1.83508,0.00191948,0.00191948,0.00191948
124,64.2938,0.92644,0.67625,1.02242,0.16585,0.1795,0.16587,0.08296,1.87208,2.71344,1.86611,0.00191882,0.00191882,0.00191882
125,64.8312,0.93786,0.72537,1.03873,0.16585,0.1795,0.16587,0.08296,1.87208,2.71344,1.86611,0.00191816,0.00191816,0.00191816
126,65.2911,0.8991,0.70535,1.04463,0.16585,0.1795,0.16587,0.08296,1.87208,2.71344,1.86611,0.0019175,0.0019175,0.0019175
127,65.7056,1.01058,0.7324,1.08441,0.16585,0.1795,0.16587,0.08296,1.87208,2.71344,1.86611,0.00191684,0.00191684,0.00191684
128,66.0426,1.07195,0.73274,1.05914,0.53749,0.26389,0.32265,0.17574,1.79064,2.38842,1.72006,0.00191618,0.00191618,0.00191618
129,66.5935,0.92228,0.68869,1.02192,0.53749,0.26389,0.32265,0.17574,1.79064,2.38842,1.72006,0.00191552,0.00191552,0.00191552
