aX,aY,aZ,gX,gY,gZ
aX,aY,aZ,gX,gY,gZ
0.205,0.576,0.150,-130.127,-479.675,-388.550
0.550,0.286,1.125,-98.572,-414.734,-400.269
0.694,0.117,1.279,-159.790,-157.593,-406.738
0.655,-0.362,1.214,-201.477,-3.479,-395.386
0.699,-0.772,0.472,-66.345,275.879,-306.580
0.743,-0.715,0.104,47.791,369.202,-160.461
0.898,-0.211,-0.522,73.608,351.013,-111.877
0.990,-0.008,-0.785,69.580,215.454,-94.604
1.013,0.005,-0.977,20.569,105.835,-111.206
0.999,-0.118,-0.828,-137.207,-103.210,-133.118
1.006,-0.309,-0.464,-196.289,-173.218,-130.005
0.962,-0.343,-0.351,-226.318,-257.385,-109.680
0.703,-0.360,-0.181,-215.820,-286.377,-98.694
0.518,-0.416,0.034,-209.717,-341.309,-77.393
0.526,-0.354,0.174,-157.043,-359.131,-38.635
0.297,-0.222,0.390,-114.990,-342.346,-32.227
0.465,-0.245,0.443,-175.293,-317.261,-63.171
1.261,-0.326,0.630,-233.032,-319.275,-73.425
1.327,-0.394,0.955,-152.527,-295.288,-62.622
1.016,-0.471,1.640,54.382,-127.258,-58.960
0.660,-0.347,1.005,67.932,-28.381,-52.490
0.470,-0.301,0.571,44.678,25.024,-47.485
0.325,-0.524,0.458,26.855,-3.845,-42.542
0.413,-0.614,0.630,-21.790,-51.453,8.423
0.575,-0.418,0.824,-27.222,-48.523,33.203
0.593,-0.288,0.800,-21.240,-24.780,30.884
0.637,-0.279,0.756,-24.109,-20.203,18.738
0.685,-0.264,0.770,-24.902,-20.264,9.888
0.673,-0.223,0.763,-23.193,-19.287,5.554
0.581,-0.212,0.686,-20.081,-16.968,-1.831
0.541,-0.219,0.691,-12.451,-18.250,-17.578
0.579,-0.193,0.802,-10.986,-17.517,-24.414
0.646,-0.189,0.830,-6.409,-3.296,-38.452
0.754,-0.217,0.812,-3.235,6.104,-45.654
0.707,-0.305,0.754,8.301,22.217,-60.181
0.665,-0.345,0.700,7.324,28.320,-63.171
0.622,-0.372,0.604,-8.423,30.090,-59.265
0.625,-0.367,0.619,-8.972,23.560,-56.946
0.609,-0.343,0.684,-4.456,9.644,-57.373
0.605,-0.352,0.697,-13.428,4.333,-64.331
0.647,-0.426,0.726,-7.629,4.700,-66.101
0.650,-0.442,0.731,23.804,13.733,-61.340
0.565,-0.431,0.664,37.292,20.386,-57.373
0.542,-0.427,0.618,31.982,20.813,-51.941
0.583,-0.451,0.593,17.273,13.733,-50.842
0.600,-0.481,0.605,-10.315,-2.380,-48.889
0.596,-0.511,0.614,-17.090,-8.850,-45.349
0.580,-0.492,0.628,-18.311,-21.667,-35.828
0.555,-0.451,0.667,-19.043,-26.550,-32.776
0.562,-0.446,0.684,-23.437,-28.137,-29.602
0.606,-0.500,0.731,-29.358,-25.452,-26.978
0.614,-0.541,0.773,-38.330,-13.672,-13.550
0.575,-0.547,0.831,-23.682,-1.343,-4.089
0.556,-0.493,0.778,22.156,24.963,6.042
0.561,-0.385,0.601,28.809,26.367,1.465
0.581,-0.388,0.582,-1.099,1.770,-21.851
0.580,-0.501,0.699,-19.592,-9.155,-29.480
0.568,-0.524,0.743,-31.616,-4.211,-23.315
0.548,-0.485,0.726,-29.297,3.723,-17.273
0.547,-0.469,0.708,-11.902,13.489,-11.353
0.592,-0.442,0.674,-5.249,14.832,-11.108
0.611,-0.445,0.668,-4.761,10.681,-14.038
