epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71235,2.81375,2.82927,2.89326,0.43393,0.03571,0.06973,0.01831,3.19453,2.82727,3.43094,2e-05,2e-05,2e-05
2,3.70236,2.79137,2.84382,2.86252,0.30861,0.14286,0.12119,0.03459,2.79264,2.56637,3.27869,5.8812e-05,5.8812e-05,5.8812e-05
3,6.57248,2.30875,2.51091,2.44888,0.18799,0.60362,0.1597,0.0696,2.02153,7.17546,2.28301,9.604e-05,9.604e-05,9.604e-05
4,9.57972,2.04001,2.56022,2.35389,0.54123,0.42857,0.46463,0.21982,1.88442,2.49323,1.9131,0.000131684,0.000131684,0.000131684
5,12.6205,2.25762,2.29128,2.37109,0.36171,0.42857,0.34717,0.15392,1.96589,1.85482,2.15113,0.000165744,0.000165744,0.000165744
6,15.0042,1.87195,2.12366,2.14613,0.54389,0.42599,0.35744,0.13952,2.16464,2.6566,2.58202,0.00019822,0.00019822,0.00019822
7,17.571,2.07328,3.15724,2.32324,0.50486,0.46429,0.34665,0.14008,2.09718,2.73499,2.53166,0.000229112,0.000229112,0.000229112
8,20.6209,2.26571,3.37996,2.47713,0.44512,0.42857,0.3761,0.12576,2.36132,2.30001,2.8611,0.00025842,0.00025842,0.00025842
9,22.8851,1.72762,2.18206,1.95657,0.48113,0.42857,0.41176,0.13781,2.35899,10.561,2.95977,0.000286144,0.000286144,0.000286144
10,25.1184,1.69628,1.75233,1.91829,0.51177,0.39286,0.35168,0.13256,2.20049,5.16019,3.23713,0.000312284,0.000312284,0.000312284
11,27.6109,1.81832,1.91796,2.00284,0.3719,0.42857,0.24575,0.09528,2.66075,9.59978,4.32139,0.00033684,0.00033684,0.00033684
12,29.8498,1.74466,1.92971,1.99927,0.3719,0.42857,0.24575,0.09528,2.66075,9.59978,4.32139,0.000359812,0.000359812,0.000359812
13,32.0895,1.79164,1.79804,2.04875,0.41193,0.17538,0.11243,0.04597,3.11211,4.81633,3.92944,0.0003812,0.0003812,0.0003812
14,34.3806,1.79315,2.00095,2.00932,0.40495,0.21429,0.13553,0.04831,3.00729,7.12476,4.17807,0.000401004,0.000401004,0.000401004
15,36.6933,1.48433,1.57984,1.74971,0.40495,0.21429,0.13553,0.04831,3.00729,7.12476,4.17807,0.000419224,0.000419224,0.000419224
16,39.0006,1.71339,1.72553,1.92765,0.26655,0.21429,0.14764,0.05674,2.82202,19.0582,4.23217,0.00043586,0.00043586,0.00043586
17,41.3242,1.7253,1.86562,1.95905,0.22938,0.25,0.13294,0.04744,2.84117,8.29588,4.22769,0.000450912,0.000450912,0.000450912
18,43.5947,2.1929,1.88192,2.39569,0.22938,0.25,0.13294,0.04744,2.84117,8.29588,4.22769,0.00046438,0.00046438,0.00046438
19,45.8773,1.83488,1.65494,2.01615,0.29734,0.34781,0.15462,0.04222,3.02973,4.84159,4.19996,0.000476264,0.000476264,0.000476264
20,48.1112,1.74995,1.70699,1.98502,0.29734,0.34781,0.15462,0.04222,3.02973,4.84159,4.19996,0.000486564,0.000486564,0.000486564
21,50.4135,1.87109,1.82352,2.06421,0.22461,0.46429,0.15402,0.05036,2.85336,7.10427,4.44026,0.00049528,0.00049528,0.00049528
22,52.6764,2.02264,1.85081,2.21721,0.22461,0.46429,0.15402,0.05036,2.85336,7.10427,4.44026,0.000502412,0.000502412,0.000502412
23,54.93,1.8102,1.69846,2.04741,0.51069,0.53571,0.43032,0.15704,2.15233,4.76489,3.60567,0.00050796,0.00050796,0.00050796
24,57.1633,1.69868,1.70797,1.92806,0.51069,0.53571,0.43032,0.15704,2.15233,4.76489,3.60567,0.000511924,0.000511924,0.000511924
25,59.4364,1.82388,1.85455,2.01494,0.64706,0.39286,0.39464,0.144,2.13015,7.80289,3.67309,0.000514304,0.000514304,0.000514304
26,61.7239,1.71825,1.61201,1.97792,0.64706,0.39286,0.39464,0.144,2.13015,7.80289,3.67309,0.0005151,0.0005151,0.0005151
27,64.0296,1.64578,1.63949,1.91068,0.64706,0.39286,0.39464,0.144,2.13015,7.80289,3.67309,0.000514312,0.000514312,0.000514312
28,66.2991,1.59255,1.66373,1.88107,0.40328,0.46429,0.3653,0.15877,1.94918,3.36325,3.02036,0.00051194,0.00051194,0.00051194
