epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.18478,2.42953,3.795,1.63394,0.00391,0.20149,0.00239,0.001,2.4981,3.63323,1.70782,0.0001,0.0001,0.0001
2,1.9431,2.22799,3.59623,1.57608,0.00884,0.45522,0.01345,0.00525,1.90627,3.54887,1.49199,0.000215644,0.000215644,0.000215644
3,2.86614,2.04863,2.80288,1.40092,0.01174,0.60448,0.02171,0.00713,1.8443,3.40941,1.4374,0.000326536,0.000326536,0.000326536
4,3.72913,1.93428,2.29799,1.34461,0.01159,0.59701,0.02292,0.0089,1.76985,3.39422,1.40354,0.000432676,0.000432676,0.000432676
5,4.55647,1.82699,2.18028,1.33492,0.01246,0.64179,0.07251,0.02733,1.65802,3.34038,1.28985,0.000534064,0.000534064,0.000534064
6,5.43163,1.72364,1.99224,1.28344,0.01406,0.72388,0.10447,0.04191,1.63006,3.25378,1.28734,0.0006307,0.0006307,0.0006307
7,6.26711,1.73764,1.94145,1.29291,0.01406,0.72388,0.13268,0.0541,1.66185,3.25509,1.27518,0.000722584,0.000722584,0.000722584
8,7.08638,1.67262,1.90208,1.23392,0.30521,0.35075,0.26156,0.09242,1.7063,3.0584,1.29843,0.000809716,0.000809716,0.000809716
9,7.91668,1.7275,1.94291,1.28922,0.71253,0.11102,0.22136,0.0889,1.77975,2.90933,1.34853,0.000892096,0.000892096,0.000892096
10,8.68092,1.68241,1.83713,1.27696,0.76679,0.14728,0.36226,0.14893,1.72866,2.72156,1.34745,0.000969724,0.000969724,0.000969724
11,9.49925,1.67789,1.76156,1.31381,0.81182,0.22539,0.40844,0.18586,1.67977,2.51392,1.30533,0.0010426,0.0010426,0.0010426
12,10.304,1.71901,1.73842,1.29352,0.54211,0.14925,0.24715,0.10152,1.74293,2.63196,1.36233,0.00111072,0.00111072,0.00111072
13,11.0573,1.65973,1.78772,1.31328,0.66007,0.17164,0.286,0.1318,1.70938,2.62578,1.40424,0.0011741,0.0011741,0.0011741
14,11.8573,1.6439,1.73085,1.27272,0.55903,0.22388,0.31243,0.13706,1.68971,2.47874,1.36062,0.00123272,0.00123272,0.00123272
15,12.6294,1.61999,1.66184,1.25164,0.45594,0.3209,0.38321,0.17491,1.71845,2.2313,1.33385,0.00128658,0.00128658,0.00128658
16,13.411,1.60188,1.7061,1.26134,0.434,0.42537,0.39899,0.17893,1.77291,2.16004,1.3471,0.0013357,0.0013357,0.0013357
17,14.1792,1.60227,1.66576,1.22804,0.44404,0.35821,0.35933,0.1464,1.8619,2.33534,1.34951,0.0013664,0.0013664,0.0013664
18,14.9681,1.6056,1.64675,1.23067,0.64807,0.23134,0.37508,0.14606,1.93996,2.49022,1.37415,0.0013268,0.0013268,0.0013268
19,15.7309,1.64,1.68084,1.27566,0.28384,0.27508,0.26796,0.12228,1.8045,2.34186,1.35836,0.0012872,0.0012872,0.0012872
20,16.5011,1.58031,1.56436,1.22995,0.57374,0.43284,0.52181,0.23818,1.74464,2.10768,1.37012,0.0012476,0.0012476,0.0012476
21,17.2981,1.55022,1.52034,1.19859,0.56924,0.52268,0.56546,0.25315,1.7727,1.88502,1.36186,0.001208,0.001208,0.001208
22,18.1069,1.5698,1.4897,1.22946,0.63815,0.54478,0.58636,0.254,1.78368,1.72977,1.32119,0.0011684,0.0011684,0.0011684
23,18.8899,1.60859,1.55115,1.24368,0.62788,0.57463,0.59114,0.24541,1.77823,1.73531,1.31155,0.0011288,0.0011288,0.0011288
