epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82505,2.59585,3.16085,2.0715,0.03167,0.52778,0.04007,0.01324,2.70501,2.86955,2.01636,0,0,0
2,9.11467,2.56835,3.25097,2.0075,0.03333,0.55556,0.04218,0.01299,2.70554,2.8712,2.01121,1.99802e-05,1.99802e-05,1.99802e-05
3,9.46967,2.6657,3.20848,2.21369,0.03333,0.55556,0.04483,0.0139,2.70005,2.87487,2.01338,3.99208e-05,3.99208e-05,3.99208e-05
4,9.93291,2.45613,3.15766,2.01769,0.03333,0.55556,0.04345,0.01311,2.74568,2.87141,2.04339,5.98218e-05,5.98218e-05,5.98218e-05
5,10.3183,2.7304,3.17425,2.19913,0.03167,0.52778,0.04973,0.01545,2.7944,2.87657,2.07746,7.96832e-05,7.96832e-05,7.96832e-05
6,10.7187,2.53701,3.22453,2.04915,0.03583,0.59722,0.05618,0.01569,2.8217,2.87105,2.0804,9.9505e-05,9.9505e-05,9.9505e-05
7,11.1186,2.67572,3.22495,2.15702,0.035,0.58333,0.05051,0.01261,2.88145,2.85812,2.10276,0.000119287,0.000119287,0.000119287
8,11.5745,2.53276,3.2229,2.04794,0.0425,0.70833,0.08856,0.02885,2.41572,2.86709,1.85592,0.00013903,0.00013903,0.00013903
9,12.1822,2.22416,3.08919,1.8266,0.05167,0.86111,0.24305,0.08444,1.89011,2.7862,1.527,0.000158733,0.000158733,0.000158733
10,12.7144,1.91004,3.04972,1.66767,0.05667,0.94444,0.36545,0.15756,1.54217,2.75949,1.33625,0.000178396,0.000178396,0.000178396
11,13.3386,1.65865,2.84804,1.52658,0.0575,0.95833,0.45393,0.19276,1.48495,2.7597,1.308,0.00019802,0.00019802,0.00019802
12,13.8804,1.5859,2.80801,1.43592,0.0575,0.95833,0.48956,0.24076,1.41584,2.67741,1.2278,0.000217604,0.000217604,0.000217604
13,14.2663,1.603,2.6801,1.43246,0.05917,0.98611,0.52692,0.27587,1.41169,2.5914,1.19246,0.000237149,0.000237149,0.000237149
14,14.8345,1.54127,2.46814,1.42976,0.05917,0.98611,0.53563,0.26474,1.43136,2.52353,1.19836,0.000256654,0.000256654,0.000256654
15,15.2389,1.5128,2.13188,1.36094,0.05917,0.98611,0.48706,0.24517,1.44154,2.49334,1.22766,0.000276119,0.000276119,0.000276119
16,15.6759,1.50879,1.87265,1.32164,0.54712,0.36111,0.44275,0.22383,1.42077,2.42611,1.24504,0.000295545,0.000295545,0.000295545
17,16.2497,1.45272,1.71754,1.29584,0.7232,0.25,0.47068,0.24825,1.39852,2.32262,1.24694,0.000314931,0.000314931,0.000314931
18,16.6824,1.48157,1.53536,1.32055,0.7232,0.25,0.47068,0.24825,1.39852,2.32262,1.24694,0.000334278,0.000334278,0.000334278
