epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.08907,3.68041,3.82696,2.5075,0.00066,0.04871,0.00035,0.00011,nan,nan,nan,0.0005,0.0005,0.0005
2,19.3434,3.72111,3.68724,2.50875,0,0,0,0,nan,nan,nan,0.00101663,0.00101663,0.00101663
3,28.5753,3.59246,3.51099,2.42971,0,0,0,0,nan,nan,nan,0.00152984,0.00152984,0.00152984
4,37.8023,3.66845,3.58752,2.4391,0,0,0,0,nan,nan,nan,0.0019802,0.0019802,0.0019802
5,47.0269,3.61813,3.50576,2.33648,0,0,0,0,nan,nan,nan,0.0019736,0.0019736,0.0019736
6,56.6921,3.6191,3.49554,2.33807,0,0,0,0,nan,nan,nan,0.001967,0.001967,0.001967
7,67.9292,3.47447,3.47872,2.28982,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
8,78.1149,3.49676,3.432,2.23429,0,0,0,0,nan,nan,nan,0.0019538,0.0019538,0.0019538
9,87.2414,3.38024,3.41151,2.21845,0,0,0,0,nan,nan,nan,0.0019472,0.0019472,0.0019472
10,96.4717,3.35293,3.40788,2.22654,0.00167,0.00573,0.00084,0.00029,nan,nan,nan,0.0019406,0.0019406,0.0019406
11,106.804,3.31097,3.37591,2.15606,0.0157,0.01146,0.00092,0.00024,4.12186,9.82595,3.04153,0.001934,0.001934,0.001934
12,116.286,3.32356,3.33588,2.15133,0.28202,0.09742,0.04957,0.02109,3.16702,3.13186,2.24969,0.0019274,0.0019274,0.0019274
13,126.162,3.26296,3.26788,2.11522,0.03272,0.01433,0.00283,0.00077,4.12789,6.7265,3.84437,0.0019208,0.0019208,0.0019208
14,135.556,3.36062,3.46713,2.15179,0.00037,0.02865,0.00019,4e-05,4.17799,3.87079,2.82991,0.0019142,0.0019142,0.0019142
15,145.357,3.17189,3.22213,2.06742,0.2989,0.0904,0.06084,0.0241,3.24478,3.24359,2.45579,0.0019076,0.0019076,0.0019076
16,155.134,3.24443,3.31553,2.12917,0.05563,0.00287,0.00151,0.00054,3.61146,3.68918,2.4352,0.001901,0.001901,0.001901
17,164.441,3.23162,3.26059,2.14216,0.1101,0.01433,0.00561,0.00223,3.55334,3.54672,2.4778,0.0018944,0.0018944,0.0018944
18,173.988,3.218,3.27053,2.14119,0.75582,0.00287,0.00577,0.003,4.29424,4.37822,4.3018,0.0018878,0.0018878,0.0018878
19,187.104,3.17937,3.23107,2.11501,0.20824,0.07736,0.05026,0.02079,3.12088,3.13511,2.39671,0.0018812,0.0018812,0.0018812
