epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.14292,2.40129,3.75239,1.6036,0.00455,0.37037,0.0055,0.0017,2.28067,3.62814,1.72516,0.0001,0.0001,0.0001
2,1.91735,2.22118,3.57314,1.49801,0.01061,0.8642,0.04108,0.01147,1.84755,3.34504,1.32373,0.000219927,0.000219927,0.000219927
3,2.83047,2.12359,2.70519,1.41004,0.01045,0.85185,0.16741,0.05418,1.67234,3.02566,1.19546,0.000339776,0.000339776,0.000339776
4,3.66182,1.90952,2.2536,1.28565,0.01152,0.93827,0.15119,0.05651,1.6865,3.01611,1.26825,0.000459545,0.000459545,0.000459545
5,4.48819,1.85825,2.16016,1.32107,0.01167,0.95062,0.05971,0.01387,1.52226,3.05864,1.21746,0.000579234,0.000579234,0.000579234
6,5.30697,1.76435,2.05633,1.30226,0.01197,0.97531,0.03375,0.01117,1.59716,3.1615,1.35793,0.000698845,0.000698845,0.000698845
7,6.09356,1.74227,1.97995,1.28851,0.01182,0.96296,0.02009,0.00901,1.65374,3.22455,1.36438,0.000818376,0.000818376,0.000818376
8,6.87566,1.70566,1.9374,1.31444,0.01152,0.93827,0.0655,0.0356,1.75564,3.16784,1.41777,0.000937829,0.000937829,0.000937829
9,7.65077,1.7054,1.96324,1.34241,0.01152,0.93827,0.08817,0.04776,1.90857,3.11022,1.48846,0.0010572,0.0010572,0.0010572
10,8.44424,1.71164,1.88286,1.32558,0.50044,0.03704,0.24931,0.08382,1.93103,2.82871,1.46773,0.0011765,0.0011765,0.0011765
11,9.3597,1.67818,1.76164,1.27911,0.57097,0.32866,0.445,0.18418,1.78128,2.40928,1.49001,0.00129571,0.00129571,0.00129571
12,10.1229,1.78952,1.77588,1.31116,0.4747,0.44444,0.46343,0.19866,1.77569,2.24456,1.44489,0.00141485,0.00141485,0.00141485
13,10.9264,1.62767,1.71992,1.25867,0.30164,0.2963,0.24444,0.09498,1.81524,2.11622,1.47313,0.0015339,0.0015339,0.0015339
14,11.6675,1.65985,1.72346,1.25586,0.28689,0.41227,0.26963,0.09742,1.92122,2.26174,1.58378,0.00165288,0.00165288,0.00165288
15,12.4066,1.75772,1.85434,1.30693,0.34662,0.43227,0.34708,0.12561,1.91668,2.2415,1.57573,0.00177178,0.00177178,0.00177178
16,13.1657,1.72169,1.76063,1.29291,0.29595,0.28395,0.2444,0.07766,2.10932,2.42404,1.84371,0.00189059,0.00189059,0.00189059
17,13.9512,1.71496,1.64771,1.2597,0.26063,0.30864,0.1767,0.06025,2.14301,2.49236,1.86076,0.00198944,0.00198944,0.00198944
18,14.7071,1.74039,1.5866,1.28469,0.46915,0.38272,0.37403,0.14393,2.00381,2.13788,1.68519,0.00198878,0.00198878,0.00198878
19,15.4636,1.72746,1.73651,1.31402,0.41162,0.54321,0.4131,0.17652,1.80322,1.9684,1.52464,0.00198812,0.00198812,0.00198812
20,16.2282,1.64699,1.61656,1.24475,0.34594,0.50282,0.35871,0.16565,1.73005,1.90661,1.48544,0.00198746,0.00198746,0.00198746
21,16.9676,1.64335,1.56387,1.21517,0.46947,0.55556,0.46396,0.21753,1.67683,1.77543,1.46442,0.0019868,0.0019868,0.0019868
22,17.7691,1.57765,1.58481,1.23765,0.53586,0.51852,0.48421,0.23478,1.73239,1.8222,1.49106,0.00198614,0.00198614,0.00198614
23,18.564,1.67134,1.58313,1.27966,0.43413,0.45679,0.37946,0.17254,1.80855,1.98451,1.55039,0.00198548,0.00198548,0.00198548
24,19.4759,1.60675,1.47373,1.20471,0.54812,0.53086,0.54001,0.26096,1.77683,1.72222,1.6302,0.00198482,0.00198482,0.00198482
25,20.2341,1.61547,1.48636,1.25785,0.59764,0.58025,0.61209,0.27958,1.73418,1.69479,1.57962,0.00198416,0.00198416,0.00198416
26,20.9957,1.5626,1.4096,1.23958,0.44163,0.5859,0.46276,0.20478,1.72997,1.92187,1.56308,0.0019835,0.0019835,0.0019835
27,21.7342,1.60849,1.42093,1.24277,0.42982,0.5679,0.48573,0.23285,1.79249,1.80014,1.55575,0.00198284,0.00198284,0.00198284
28,22.4773,1.52897,1.4382,1.19957,0.58141,0.48015,0.51098,0.2106,1.97545,1.97063,1.59374,0.00198218,0.00198218,0.00198218
29,23.1896,1.66074,1.55912,1.26002,0.44547,0.51852,0.46206,0.19174,1.8711,2.00045,1.54391,0.00198152,0.00198152,0.00198152
30,23.9297,1.62431,1.48604,1.20885,0.51981,0.49383,0.5458,0.26186,1.74128,1.70863,1.51603,0.00198086,0.00198086,0.00198086
31,24.6682,1.56189,1.41274,1.20665,0.47679,0.51753,0.51964,0.24137,1.74723,1.67525,1.5211,0.0019802,0.0019802,0.0019802
32,25.4122,1.58585,1.47646,1.20268,0.62461,0.61728,0.56593,0.23437,1.81453,1.64616,1.50971,0.00197954,0.00197954,0.00197954
33,26.2774,1.55516,1.38591,1.21409,0.60687,0.60494,0.56105,0.25295,1.86172,1.66444,1.566,0.00197888,0.00197888,0.00197888
