epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,95.7985,2.95082,0.07895,0.36842,2.92315,3.915e-05,3.915e-05,3.915e-05
2,193.464,2.85739,0.15789,0.63158,2.72714,7.44676e-05,7.44676e-05,7.44676e-05
3,289.768,2.71326,0.76316,0.89474,2.2994,0.000101172,0.000101172,0.000101172
4,386.119,2.47934,0.92105,1,1.61773,0.000119264,0.000119264,0.000119264
5,494.65,2.15864,0.97368,1,0.89152,0.000128743,0.000128743,0.000128743
6,603.503,1.8305,1,1,0.54793,0.000129608,0.000129608,0.000129608
7,698.602,1.55061,1,1,0.34035,0.000121861,0.000121861,0.000121861
8,1023.55,1.35407,1,1,0.25306,0.000105501,0.000105501,0.000105501
9,1117.22,1.18417,1,1,0.16172,8.05272e-05,8.05272e-05,8.05272e-05
10,1212.17,1.08228,1,1,0.13424,4.69408e-05,4.69408e-05,4.69408e-05
